nohup: ignoring input
Device: cuda
[NIHChestXrayDataset] Loaded 65102 images across 6 classes
  Class 0 (No Finding): 48299 images
  Class 1 (Atelectasis): 3369 images
  Class 2 (Cardiomegaly): 856 images
  Class 3 (Effusion): 3129 images
  Class 4 (Infiltration): 7769 images
  Class 5 (Mass): 1680 images
[NIHChestXrayDataset] Loaded 16264 images across 6 classes
  Class 0 (No Finding): 12113 images
  Class 1 (Atelectasis): 843 images
  Class 2 (Cardiomegaly): 238 images
  Class 3 (Effusion): 830 images
  Class 4 (Infiltration): 1782 images
  Class 5 (Mass): 458 images
  Class weights: ['0.22', '3.22', '12.68', '3.47', '1.40', '6.46']
[NIHChestXrayDataset] Loaded 65102 images across 6 classes
  Class 0 (No Finding): 48299 images
  Class 1 (Atelectasis): 3369 images
  Class 2 (Cardiomegaly): 856 images
  Class 3 (Effusion): 3129 images
  Class 4 (Infiltration): 7769 images
  Class 5 (Mass): 1680 images

==================================================
Training densenet121...
==================================================
  [vit_small] Epoch 27/100  AUC=0.6229  Acc=0.2743  BestAUC=0.6229
  [vit_small] Epoch 28/100  AUC=0.6228  Acc=0.1620  BestAUC=0.6229
  [vit_small] Epoch 29/100  AUC=0.6259  Acc=0.3550  BestAUC=0.6259
  [vit_small] Epoch 30/100  AUC=0.5989  Acc=0.2466  BestAUC=0.6259
  [vit_small] Epoch 31/100  AUC=0.6169  Acc=0.1177  BestAUC=0.6259
  [vit_small] Epoch 32/100  AUC=0.6075  Acc=0.1681  BestAUC=0.6259
  [vit_small] Epoch 33/100  AUC=0.6195  Acc=0.1085  BestAUC=0.6259
  [vit_small] Epoch 34/100  AUC=0.6131  Acc=0.1735  BestAUC=0.6259
  [vit_small] Epoch 35/100  AUC=0.6265  Acc=0.3663  BestAUC=0.6265
  [vit_small] Epoch 36/100  AUC=0.6222  Acc=0.2071  BestAUC=0.6265
  [vit_small] Epoch 37/100  AUC=0.6294  Acc=0.3055  BestAUC=0.6294
  [vit_small] Epoch 38/100  AUC=0.6261  Acc=0.3708  BestAUC=0.6294
  [vit_small] Epoch 39/100  AUC=0.6191  Acc=0.3090  BestAUC=0.6294
  [vit_small] Epoch 40/100  AUC=0.6190  Acc=0.1991  BestAUC=0.6294
  [vit_small] Epoch 41/100  AUC=0.6339  Acc=0.1715  BestAUC=0.6339
  [vit_small] Epoch 42/100  AUC=0.6349  Acc=0.1248  BestAUC=0.6349
